Herbicide,Cost/Ltr,Ltr/HA,Active Ingredient,Registration
Melanterius servulus,0.00,0.00,Melanterius servulus,Biological control
Melanterius ventralis,0.00,0.00,Melanterius ventralis,Biological control
Metamasius spinolae,0.00,0.00,Metamasius spinolae,Biological control
Midstream,0.00,75.00,Diquat dibromide (as dibromide salt) 200g/L SL,Registered
Molopo,0.00,0.02,Tebuthiuron 200g/kg GG,Registered
Muscle up,0.00,14.40,Glyphosate (as sodium salt) 500g/kg WG,Registered
Neltumius arizonensis,0.00,0.00,Neltumius arizonensis,Biological control
Neochetina bruchi,0.00,0.00,Neochetina bruchi,Biological control
Neochetina eichhorniae,0.00,0.00,Neochetina eichhorniae,Biological control
Neodiplogrammus quadrivittatus,0.00,0.00,Neodiplogrammus quadrivittatus,Biological control
Nikanor,0.00,0.18,Chlorimuron ethyl (as sulfonyl urea) 500g/kg WP,Registered
Niphograpta albuggitallis,0.00,0.00,Niphograpta albuggitallis,Biological control
Nuvogon,142.50,0.75,Triclopyr (as butoxy ethyl ester) 480 g/L EC,Registered
Octotoma scabripennis,0.00,0.00,Octotoma scabripennis,Biological control
Ophiomyia camarae,0.00,0.00,Ophiomyia camarae,Biological control
Ophiomyia lantanae,0.00,0.00,Ophiomyia lantanae,Biological control
Orthagalumna terrebrantis,0.00,0.00,Orthagalumna terrebrantis,Biological control
Orthezia insignis,0.00,0.00,Orthezia insignis,Biological control
Parectopa thalassias,0.00,0.00,Parectopa thalassias,Biological control
Pareuchaetes insulata,0.00,0.00,Pareuchaetes insulata,Biological control
Passalora lantanae,0.00,0.00,Passalora lantanae,Biological control
Perevra sp.,0.00,0.00,Perevra sp.,Biological control
Phaeoramularia sp,0.00,0.00,Phaeoramularia sp,Biological control
Phenrica guerini,0.00,0.00,Phenrica guerini,Biological control
Plenum,0.00,0.75,Fluroxypyr 80 + Picloram 80 g/L ME,Registered
Procecidocharis utilis,0.00,0.00,Procecidocharis utilis,Biological control
Pseudonapomyza sp.,0.00,0.00,Pseudonapomyza sp.,Biological control
Ranger,0.00,1.00,Triclopyr (as butoxy ethyl ester) 240 g/L EC,Registered
Rhinocyllus conicus,0.00,0.00,Rhinocyllus conicus,Biological control
Rhyzommatus marginatus,0.00,0.00,Rhyzommatus marginatus,Biological control
Roundup,0.00,15.00,Glyphosate (as isopropylamine salt) 360 g/L SL,Registered
Roundup max,0.00,0.80,Glyphosate (as ammonium salt) 680 g/kg WG,Registered
Roundup turbo,0.00,1.20,Glyphosate (as potassium salt) 450g/L SL,Registered
Salbia hemorrhoidalis,0.00,0.00,Salbia hemorrhoidalis,Biological control
Scuba,0.00,75.00,Diquat dibromide (as dibromide salt) 200g/L SL,Registered
Seismic,80.48,15.00,Glyphosate (as isopropylamine salt) 480 g/L SL,Registered
Springbok,47.93,15.00,Glyphosate (as isopropylamine salt) 360 g/L SL,Registered
Starane,153.90,0.13,Fluroxypyr 200 g/L EC,Registered
Stenopelmus rufinasus,0.00,0.00,Stenopelmus rufinasus,Biological control
Stumpout,0.00,0.00,Cylindrobasidium laeve,Registered
Sulchobruchus subsuturalis,0.00,0.00,Sulchobruchus subsuturalis,Biological control
Teleonemia scrupulosa,0.00,0.00,Teleonemia scrupulosa,Biological control
Timbrel,0.00,3.00,Triclopyr (as amine salt) 360 g/L SL,Minor use
Tomahawk,0.00,0.25,Fluroxypyr 200 g/L EC,Registered
Touchdown forte hitech,0.00,1.00,Glyphosate (as potassium salt) 500 SL,Registered
Trichapion latriventre,0.00,0.00,Trichapion latriventre,Biological control
Trichilogaster acacialongifoli,0.00,0.00,Trichilogaster acacialongifoliae,Biological control
Trichilogaster signiventris,0.00,0.00,Trichilogaster signiventris,Biological control
Triclon,0.00,0.50,Triclopyr (as butoxy ethyl ester) 480 g/L EC,Registered
Uromycladium tepperianum,0.00,0.00,Uromycladium tepperianum,Biological control
Uroplata girardi,0.00,0.00,Uroplata girardi,Biological control
Viroaxe,0.00,0.50,Triclopyr (as butoxy ethyl ester) 480 g/L EC,Registered
Voloxypyr,0.00,0.13,Fluroxypyr 200 g/L EC,Registered
Zeuxidiplosis giardi,0.00,0.00,Zeuxidiplosis giardi,Biological control
Zygogramma bicolorata,0.00,0.00,Zygogramma bicolorata,Biological control
Zygogramma piceicollis,0.00,0.00,Zygogramma piceicollis,Biological control
Zygogramma signatipennis,0.00,0.00,Zygogramma signatipennis,Biological control
